document_id,term,term_type,frequency,frequency_score,first_position,last_position,distance_from_start,distance_from_end,earliness_score,persistence_score,relevance_score,extended_relevance_score,relevance_class
L0 Introduction,nlp,unigram,9,1.0,0.061404,0.991228,0.061404,0.008772,0.938596,0.929825,0.969298,0.960526,top
L0 Introduction,language,unigram,6,0.666667,0.105263,0.684211,0.105263,0.315789,0.894737,0.578947,0.780702,0.708772,top
L0 Introduction,language model,domain_phrase,6,0.666667,0.175439,0.526316,0.175439,0.473684,0.824561,0.350877,0.745614,0.619298,top
L0 Introduction,exam,unigram,3,0.333333,0.052632,0.877193,0.052632,0.122807,0.947368,0.824561,0.640351,0.664912,top
L0 Introduction,natural,unigram,3,0.333333,0.096491,0.675439,0.096491,0.324561,0.903509,0.578947,0.618421,0.57807,top
L0 Introduction,goals,unigram,2,0.222222,0.008772,0.070175,0.008772,0.929825,0.991228,0.061404,0.606725,0.404678,top
L0 Introduction,streams,unigram,2,0.222222,0.017544,0.236842,0.017544,0.763158,0.982456,0.219298,0.602339,0.449415,top
L0 Introduction,plan,unigram,2,0.222222,0.026316,0.964912,0.026316,0.035088,0.973684,0.938596,0.597953,0.662573,top
L0 Introduction,introduction,unigram,1,0.111111,0.0,0.0,0.0,1.0,1.0,0.0,0.555556,0.344444,top
L0 Introduction,natural language processing,domain_phrase,2,0.222222,0.114035,0.403509,0.114035,0.596491,0.885965,0.289474,0.554094,0.44152,medium
L0 Introduction,lecture,unigram,3,0.333333,0.245614,0.596491,0.245614,0.403509,0.754386,0.350877,0.54386,0.464912,medium
L0 Introduction,course,unigram,1,0.111111,0.035088,0.035088,0.035088,0.964912,0.964912,0.0,0.538012,0.333918,medium
L0 Introduction,llm,unigram,2,0.222222,0.149123,0.184211,0.149123,0.815789,0.850877,0.035088,0.53655,0.354678,medium
L0 Introduction,rationale,unigram,1,0.111111,0.04386,0.04386,0.04386,0.95614,0.95614,0.0,0.533626,0.331287,medium
L0 Introduction,learn,unigram,1,0.111111,0.078947,0.078947,0.078947,0.921053,0.921053,0.0,0.516082,0.32076,medium
L0 Introduction,operate,unigram,1,0.111111,0.087719,0.087719,0.087719,0.912281,0.912281,0.0,0.511696,0.318129,medium
L0 Introduction,processing,unigram,1,0.111111,0.114035,0.114035,0.114035,0.885965,0.885965,0.0,0.498538,0.310234,medium
L0 Introduction,build,unigram,1,0.111111,0.122807,0.122807,0.122807,0.877193,0.877193,0.0,0.494152,0.307602,medium
L0 Introduction,concept,unigram,3,0.333333,0.350877,0.526316,0.350877,0.473684,0.649123,0.175439,0.491228,0.380702,medium
L0 Introduction,technology,unigram,1,0.111111,0.131579,0.131579,0.131579,0.868421,0.868421,0.0,0.489766,0.304971,medium
L1,distance,unigram,40,1.0,0.014433,0.950515,0.014433,0.049485,0.985567,0.936082,0.992784,0.976495,top
L1,edit,unigram,38,0.95,0.012371,0.948454,0.012371,0.051546,0.987629,0.936082,0.968814,0.957113,top
L1,minimum,unigram,21,0.525,0.010309,0.946392,0.010309,0.053608,0.989691,0.936082,0.757345,0.787732,top
L1,alignment,unigram,13,0.325,0.059794,0.993814,0.059794,0.006186,0.940206,0.934021,0.632603,0.692268,top
L1,string,unigram,8,0.2,0.026804,0.715464,0.026804,0.284536,0.973196,0.68866,0.586598,0.578557,top
L1,definition,unigram,2,0.05,0.016495,0.416495,0.016495,0.583505,0.983505,0.4,0.516753,0.435052,top
L1,natural,unigram,1,0.025,0.0,0.0,0.0,1.0,1.0,0.0,0.5125,0.31,top
L1,biology,unigram,3,0.075,0.051546,0.783505,0.051546,0.216495,0.948454,0.731959,0.511727,0.534124,top
L1,language,unigram,1,0.025,0.002062,0.002062,0.002062,0.997938,0.997938,0.0,0.511469,0.309381,top
L1,align,unigram,3,0.075,0.053608,0.575258,0.053608,0.424742,0.946392,0.521649,0.510696,0.470412,top
L1,spell,unigram,2,0.05,0.028866,0.773196,0.028866,0.226804,0.971134,0.74433,0.510567,0.534639,top
L1,processing,unigram,1,0.025,0.004124,0.004124,0.004124,0.995876,0.995876,0.0,0.510438,0.308763,top
L1,correction,unigram,2,0.05,0.030928,0.775258,0.030928,0.224742,0.969072,0.74433,0.509536,0.534021,top
L1,matteo,unigram,1,0.025,0.006186,0.006186,0.006186,0.993814,0.993814,0.0,0.509407,0.308144,top
L1,natural language processing,domain_phrase,1,0.025,0.006186,0.006186,0.006186,0.993814,0.993814,0.0,0.509407,0.308144,top
L1,cristani,unigram,1,0.025,0.008247,0.008247,0.008247,0.991753,0.991753,0.0,0.508376,0.307526,top
L1,machine translation,domain_phrase,2,0.05,0.045361,0.162887,0.045361,0.837113,0.954639,0.117526,0.50232,0.341649,top
L1,computational,unigram,2,0.05,0.049485,0.154639,0.049485,0.845361,0.950515,0.105155,0.500258,0.336701,top
L1,similar,unigram,1,0.025,0.024742,0.024742,0.024742,0.975258,0.975258,0.0,0.500129,0.302577,top
L1,user,unigram,1,0.025,0.03299,0.03299,0.03299,0.96701,0.96701,0.0,0.496005,0.300103,top
L10,pre,unigram,16,1.0,0.004673,0.981308,0.004673,0.018692,0.995327,0.976636,0.997664,0.991589,top
L10,language,unigram,15,0.9375,0.007009,0.984813,0.007009,0.015187,0.992991,0.977804,0.965245,0.966238,top
L10,language model,domain_phrase,14,0.875,0.005841,0.975467,0.005841,0.024533,0.994159,0.969626,0.934579,0.939136,top
L10,lstm,unigram,15,0.9375,0.071262,0.23014,0.071262,0.76986,0.928738,0.158879,0.933119,0.701285,top
L10,bert,unigram,13,0.8125,0.003505,0.977804,0.003505,0.022196,0.996495,0.974299,0.904498,0.916238,top
L10,transformer,unigram,13,0.8125,0.136682,0.719626,0.136682,0.280374,0.863318,0.582944,0.837909,0.758879,top
L10,pre training,domain_phrase,11,0.6875,0.01285,0.900701,0.01285,0.099299,0.98715,0.88785,0.837325,0.8375,top
L10,contextual representation,domain_phrase,10,0.625,0.042056,0.123832,0.042056,0.876168,0.957944,0.081776,0.791472,0.561916,top
L10,word embedding,domain_phrase,8,0.5,0.014019,0.098131,0.014019,0.901869,0.985981,0.084112,0.742991,0.521028,top
L10,context,unigram,8,0.5,0.049065,0.297897,0.049065,0.702103,0.950935,0.248832,0.725467,0.55993,top
L10,contextual,unigram,7,0.4375,0.0,0.126168,0.0,0.873832,1.0,0.126168,0.71875,0.51285,top
L10,sentence,unigram,12,0.75,0.330607,0.648364,0.330607,0.351636,0.669393,0.317757,0.709696,0.596145,top
L10,embedding,unigram,7,0.4375,0.018692,0.59229,0.018692,0.40771,0.981308,0.573598,0.709404,0.641472,top
L10,learning,unigram,5,0.3125,0.022196,0.714953,0.022196,0.285047,0.977804,0.692757,0.645152,0.626168,top
L10,size,unigram,8,0.5,0.219626,0.759346,0.219626,0.240654,0.780374,0.53972,0.640187,0.596028,top
L10,right,unigram,6,0.375,0.10514,0.632009,0.10514,0.367991,0.89486,0.526869,0.63493,0.576519,top
L10,history,unigram,4,0.25,0.011682,0.125,0.011682,0.875,0.988318,0.113318,0.619159,0.430491,top
L10,nlp,unigram,4,0.25,0.016355,0.946262,0.016355,0.053738,0.983645,0.929907,0.616822,0.674065,top
L10,deep,unigram,4,0.25,0.021028,0.179907,0.021028,0.820093,0.978972,0.158879,0.614486,0.441355,top
L10,fine,unigram,5,0.3125,0.08528,0.896028,0.08528,0.103972,0.91472,0.810748,0.61361,0.64264,top
L11,dependency,unigram,44,1.0,0.052977,0.991927,0.052977,0.008073,0.947023,0.938951,0.973512,0.965792,top
L11,parse,unigram,31,0.704545,0.0,0.996468,0.0,0.003532,1.0,0.996468,0.852273,0.880759,top
L11,parser,unigram,34,0.772727,0.205853,0.979818,0.205853,0.020182,0.794147,0.773966,0.783437,0.779525,top
L11,tree,unigram,25,0.568182,0.053481,0.953078,0.053481,0.046922,0.946519,0.899596,0.75735,0.781107,top
L11,sentence,unigram,19,0.431818,0.019173,0.911201,0.019173,0.088799,0.980827,0.892028,0.706323,0.734584,top
L11,grammar,unigram,18,0.409091,0.0333,0.998991,0.0333,0.001009,0.9667,0.965691,0.687896,0.743354,top
L11,structure,unigram,16,0.363636,0.019677,0.688698,0.019677,0.311302,0.980323,0.669021,0.67198,0.640258,top
L11,graph,unigram,17,0.386364,0.050959,0.899596,0.050959,0.100404,0.949041,0.848638,0.667703,0.693849,top
L11,parsing,unigram,14,0.318182,0.04894,0.879415,0.04894,0.120585,0.95106,0.830474,0.634621,0.661733,top
L11,language,unigram,10,0.227273,0.010091,0.981837,0.010091,0.018163,0.989909,0.971746,0.608591,0.679406,top
L11,pos,unigram,10,0.227273,0.0111,0.920787,0.0111,0.079213,0.9889,0.909687,0.608086,0.660485,top
L11,neural,unigram,10,0.227273,0.014632,0.908678,0.014632,0.091322,0.985368,0.894046,0.606321,0.654734,top
L11,det,unigram,14,0.318182,0.111504,0.758325,0.111504,0.241675,0.888496,0.646821,0.603339,0.587868,top
L11,relation,unigram,11,0.25,0.049445,0.957114,0.049445,0.042886,0.950555,0.907669,0.600277,0.657467,top
L11,shift,unigram,21,0.477273,0.311806,0.645308,0.311806,0.354692,0.688194,0.333502,0.582733,0.497418,top
L11,state,unigram,11,0.25,0.090313,0.844097,0.090313,0.155903,0.909687,0.753784,0.579844,0.599041,top
L11,head,unigram,16,0.363636,0.20888,0.957619,0.20888,0.042381,0.79112,0.748739,0.577378,0.607412,top
L11,phrase,unigram,6,0.136364,0.012614,0.215943,0.012614,0.784057,0.987386,0.20333,0.561875,0.41176,top
L11,arc,unigram,21,0.477273,0.354692,0.89001,0.354692,0.10999,0.645308,0.535318,0.56129,0.545097,top
L11,context,unigram,10,0.227273,0.106458,0.751766,0.106458,0.248234,0.893542,0.645308,0.560407,0.552564,top
L12,event,unigram,63,1.0,0.255538,0.96033,0.255538,0.03967,0.744462,0.704791,0.872231,0.834776,top
L12,relation,unigram,21,0.333333,0.042761,0.929418,0.042761,0.070582,0.957239,0.886656,0.645286,0.686502,top
L12,true,unigram,23,0.365079,0.077795,0.227718,0.077795,0.772282,0.922205,0.149923,0.643642,0.46767,top
L12,variable,unigram,17,0.269841,0.019578,0.363215,0.019578,0.636785,0.980422,0.343637,0.625132,0.505154,top
L12,serve,unigram,16,0.253968,0.044307,0.902112,0.044307,0.097888,0.955693,0.857805,0.604831,0.645637,top
L12,knowledge,unigram,13,0.206349,0.009274,0.887172,0.009274,0.112828,0.990726,0.877898,0.598538,0.643127,top
L12,represent,unigram,13,0.206349,0.033488,0.971149,0.033488,0.028851,0.966512,0.937661,0.586431,0.653792,top
L12,restaurant,unigram,12,0.190476,0.035549,0.887687,0.035549,0.112313,0.964451,0.852138,0.577464,0.621167,top
L12,language,unigram,10,0.15873,0.012365,0.949511,0.012365,0.050489,0.987635,0.937146,0.573183,0.640926,top
L12,object,unigram,10,0.15873,0.021123,0.73931,0.021123,0.26069,0.978877,0.718187,0.568804,0.572611,top
L12,predicate,unigram,14,0.222222,0.089645,0.54611,0.089645,0.45389,0.910355,0.456466,0.566289,0.498935,top
L12,set,unigram,10,0.15873,0.032457,0.972694,0.032457,0.027306,0.967543,0.940237,0.563136,0.635826,top
L12,meaning,unigram,8,0.126984,0.002061,0.422463,0.002061,0.577537,0.997939,0.420402,0.562462,0.476296,top
L12,chain,unigram,20,0.31746,0.19526,0.931994,0.19526,0.068006,0.80474,0.736734,0.5611,0.589426,top
L12,like,unigram,11,0.174603,0.053581,0.07728,0.053581,0.92272,0.946419,0.023699,0.560511,0.360877,top
L12,match,unigram,8,0.126984,0.019062,0.464709,0.019062,0.535291,0.980938,0.445647,0.553961,0.478769,top
L12,logical,unigram,6,0.095238,0.000515,0.140649,0.000515,0.859351,0.999485,0.140134,0.547361,0.379981,top
L12,sentence,unigram,6,0.095238,0.001546,0.680577,0.001546,0.319423,0.998454,0.679031,0.546846,0.541341,top
L12,review,unigram,6,0.095238,0.004122,0.134982,0.004122,0.865018,0.995878,0.13086,0.545558,0.376117,top
L12,formula,unigram,11,0.174603,0.088099,0.225142,0.088099,0.774858,0.911901,0.137043,0.543252,0.384524,top
L13,similarity,unigram,58,1.0,0.001291,1.0,0.001291,0.0,0.998709,0.998709,0.999354,0.999225,top
L13,information,unigram,30,0.517241,0.054874,0.969658,0.054874,0.030342,0.945126,0.914784,0.731184,0.764869,top
L13,meaning,unigram,26,0.448276,0.000646,0.996772,0.000646,0.003228,0.999354,0.996127,0.723815,0.777955,top
L13,similar,unigram,30,0.517241,0.169141,0.967076,0.169141,0.032924,0.830859,0.797934,0.67405,0.695534,top
L13,sense,unigram,20,0.344828,0.026469,0.44093,0.026469,0.55907,0.973531,0.414461,0.659179,0.554329,top
L13,sens,unigram,12,0.206897,0.018722,0.689477,0.018722,0.310523,0.981278,0.670755,0.594087,0.578369,top
L13,lemma,unigram,5,0.086207,0.005165,0.031633,0.005165,0.968367,0.994835,0.026469,0.540521,0.340874,top
L13,reminder,unigram,4,0.068966,0.004519,0.938025,0.004519,0.061975,0.995481,0.933505,0.532223,0.606282,top
L13,semantic,unigram,4,0.068966,0.010329,0.578438,0.010329,0.421562,0.989671,0.568108,0.529318,0.49492,top
L13,senses,unigram,3,0.051724,0.002582,0.238218,0.002582,0.761782,0.997418,0.235636,0.524571,0.390606,top
L13,relations,unigram,3,0.051724,0.003873,0.300194,0.003873,0.699806,0.996127,0.29632,0.523925,0.408424,top
L13,wordform,unigram,3,0.051724,0.00581,0.014203,0.00581,0.985797,0.99419,0.008393,0.522957,0.321464,top
L13,institution,unigram,4,0.068966,0.040671,0.085862,0.040671,0.914138,0.959329,0.04519,0.514147,0.328942,top
L13,form,unigram,2,0.034483,0.007747,0.036798,0.007747,0.963202,0.992253,0.029051,0.513368,0.320184,top
L13,relate,unigram,6,0.103448,0.076824,0.881859,0.076824,0.118141,0.923176,0.805036,0.513312,0.559843,top
L13,speech,unigram,2,0.034483,0.009038,0.06133,0.009038,0.93867,0.990962,0.052292,0.512722,0.326769,top
L13,aspect,unigram,3,0.051724,0.029697,0.25694,0.029697,0.74306,0.970303,0.227243,0.511014,0.379954,top
L13,mean,unigram,6,0.103448,0.085216,0.738541,0.085216,0.261459,0.914784,0.653325,0.509116,0.511812,top
L13,share,unigram,3,0.051724,0.036152,0.374435,0.036152,0.625565,0.963848,0.338283,0.507786,0.411329,top
L13,retrieval,unigram,4,0.068966,0.05552,0.914784,0.05552,0.085216,0.94448,0.859264,0.506723,0.56871,top
L14,role,unigram,40,1.0,0.005325,0.988285,0.005325,0.011715,0.994675,0.982961,0.997338,0.993291,top
L14,semantic role,domain_phrase,33,0.825,0.003195,0.964856,0.003195,0.035144,0.996805,0.961661,0.910903,0.91754,top
L14,semantic,unigram,31,0.775,0.00426,0.977636,0.00426,0.022364,0.99574,0.973376,0.88537,0.900735,top
L14,frame,unigram,22,0.55,0.165069,0.982961,0.165069,0.017039,0.834931,0.817891,0.692465,0.715847,top
L14,predicate,unigram,15,0.375,0.020234,0.994675,0.020234,0.005325,0.979766,0.974441,0.677383,0.736262,top
L14,labeling,unigram,14,0.35,0.00639,0.968051,0.00639,0.031949,0.99361,0.961661,0.671805,0.726581,top
L14,verb,unigram,19,0.475,0.182109,0.958466,0.182109,0.041534,0.817891,0.776358,0.646446,0.668275,top
L14,argument,unigram,13,0.325,0.051118,0.959531,0.051118,0.040469,0.948882,0.908413,0.636941,0.687188,top
L14,agent,unigram,10,0.25,0.018104,0.563365,0.018104,0.436635,0.981896,0.545261,0.615948,0.558147,top
L14,event,unigram,9,0.225,0.044728,0.973376,0.044728,0.026624,0.955272,0.928647,0.590136,0.655176,top
L14,specific,unigram,9,0.225,0.058573,0.984026,0.058573,0.015974,0.941427,0.925453,0.583214,0.650064,top
L14,proto,unigram,8,0.2,0.055378,0.98722,0.055378,0.01278,0.944622,0.931842,0.572311,0.642939,top
L14,roles,unigram,7,0.175,0.038339,0.476038,0.038339,0.523962,0.961661,0.4377,0.568331,0.489808,top
L14,propbank,unigram,17,0.425,0.28967,0.986155,0.28967,0.013845,0.71033,0.696486,0.567665,0.592045,top
L14,thematic,unigram,8,0.2,0.092652,0.267306,0.092652,0.732694,0.907348,0.174654,0.553674,0.404601,top
L14,theme,unigram,5,0.125,0.019169,0.224707,0.019169,0.775293,0.980831,0.205538,0.552915,0.405911,top
L14,stock,unigram,5,0.125,0.024494,0.031949,0.024494,0.968051,0.975506,0.007455,0.550253,0.344888,top
L14,buy,unigram,3,0.075,0.023429,0.040469,0.023429,0.959531,0.976571,0.017039,0.525785,0.328083,top
L14,break,unigram,5,0.125,0.074547,0.219382,0.074547,0.780618,0.925453,0.144835,0.525226,0.371086,top
L14,computational,unigram,2,0.05,0.0,0.308839,0.0,0.691161,1.0,0.308839,0.525,0.412652,top
L15,affect,unigram,32,1.0,0.004439,0.972099,0.004439,0.027901,0.995561,0.96766,0.997781,0.988966,top
L15,sentiment,unigram,29,0.90625,0.003805,0.983513,0.003805,0.016487,0.996195,0.979708,0.951223,0.955271,top
L15,emotion,unigram,27,0.84375,0.020926,0.880786,0.020926,0.119214,0.979074,0.85986,0.911412,0.88918,top
L15,lexicon,unigram,26,0.8125,0.051997,0.968928,0.051997,0.031072,0.948003,0.916931,0.880251,0.88448,top
L15,lexicons,unigram,24,0.75,0.003171,0.970831,0.003171,0.029169,0.996829,0.96766,0.873415,0.889347,top
L15,connotation,unigram,24,0.75,0.005073,0.996195,0.005073,0.003805,0.994927,0.991122,0.872464,0.895815,top
L15,negative,unigram,17,0.53125,0.234623,0.98922,0.234623,0.01078,0.765377,0.754597,0.648314,0.668492,top
L15,affective,unigram,9,0.28125,0.008244,0.198478,0.008244,0.801522,0.991756,0.190235,0.636503,0.467097,top
L15,arousal,unigram,15,0.46875,0.235257,0.965758,0.235257,0.034242,0.764743,0.730501,0.616747,0.636073,top
L15,personality,unigram,8,0.25,0.02156,0.218136,0.02156,0.781864,0.97844,0.196576,0.61422,0.452505,top
L15,lexical,unigram,6,0.1875,0.018389,0.820545,0.018389,0.179455,0.981611,0.802156,0.584555,0.61013,top
L15,mood,unigram,6,0.1875,0.022194,0.185162,0.022194,0.814838,0.977806,0.162968,0.582653,0.417232,top
L15,evaluation,unigram,7,0.21875,0.063412,0.822448,0.063412,0.177552,0.936588,0.759036,0.577669,0.596187,top
L15,low,unigram,7,0.21875,0.072289,0.278377,0.072289,0.721623,0.927711,0.206088,0.57323,0.42764,top
L15,valence,unigram,12,0.375,0.233354,0.965124,0.233354,0.034876,0.766646,0.731769,0.570823,0.599524,top
L15,person,unigram,7,0.21875,0.083069,0.221306,0.083069,0.778694,0.916931,0.138237,0.56784,0.40405,top
L15,compute,unigram,5,0.15625,0.023462,0.668358,0.023462,0.331642,0.976538,0.644895,0.566394,0.54893,top
L15,fear,unigram,5,0.15625,0.040583,0.384274,0.040583,0.615726,0.959417,0.343691,0.557833,0.453432,top
